,Open,High,Close
3116,389.72,391.79,390.43
3117,382.41,386.58,385.95
3118,381.7,385.0,379.68
3119,371.86,383.9,379.38
3120,360.24,374.75,372.14
3121,355.27,358.95,358.17
3122,356.6,357.09,353.06
3123,346.28,356.0,355.44
3124,345.78,347.4,346.91
3125,343.37,349.3,348.65
3126,345.8,346.43,339.9
3127,309.99,311.13,303.2
3128,304.0,309.87,308.7
3129,304.96,307.96,303.28
3130,297.5,305.2,305.0
3131,299.26,300.23,296.14
3132,302.0,302.0,297.44
3133,305.2,307.19,300.97
3134,311.16,312.65,306.1
3135,313.31,314.82,310.65
3136,314.79,316.67,312.99
3137,313.98,314.48,312.75
3138,312.69,314.9,310.71
3139,319.58,321.28,311.0
3140,313.63,320.11,318.68
3141,314.22,317.5,316.46
3142,306.68,310.72,309.62
3143,314.22,315.1,306.0
3144,314.95,318.41,313.94
3145,319.5,320.95,314.28
3146,313.0,317.21,315.36
3147,311.49,319.22,311.37
3148,308.41,313.76,311.9
3149,306.15,311.3,307.91
3150,301.0,306.0,303.79
3151,304.02,304.5,300.2
3152,299.8,306.75,302.62
3153,308.73,313.28,303.0
3154,308.74,315.53,311.68
3155,301.75,311.42,309.74
3156,297.28,299.1,299.09
3157,294.83,299.28,295.39
3158,285.89,295.5,294.87
3159,289.0,289.39,287.11
3160,286.51,289.99,288.45
3161,285.91,287.5,286.25
3162,288.23,288.5,286.0
3163,287.22,289.51,287.27
3164,282.24,289.12,288.45
3165,283.48,285.02,283.58
3166,282.55,284.0,282.59
3167,277.57,284.75,282.57
3168,276.16,279.74,279.58
3169,281.24,281.47,274.01
3170,280.99,281.45,280.0
3171,275.91,280.5,279.99
3172,285.51,286.57,285.1
3173,284.88,287.79,285.65
3174,289.98,292.77,284.0
3175,283.36,290.2,289.721
3176,285.89,286.58,284.05
3177,291.3,292.33,285.68
3178,291.96,292.68,291.57
3179,293.6,295.65,291.25
3180,297.5,298.51,292.35
3181,295.55,299.0,297.73
3182,298.0,299.72,297.3
3183,291.6,299.52,299.19
3184,288.48,292.5,291.6099
3185,292.14,292.84,287.76
3186,297.2,297.41,293.5
3187,297.74,298.23,296.93
3188,295.01,298.0,296.09
3189,302.39,303.29,295.85
3190,306.37,309.25,302.4
3191,314.05,317.8,313.94
3192,305.57,312.6088,312.0
